,claim,from,to
0,P1344,Q31,Q1088364
1,P1151,Q31,Q3247091
2,P1546,Q31,Q1308013
3,P5125,Q31,Q7112200
4,P38,Q31,Q4916
5,P38,Q31,Q232415
6,P1792,Q31,Q7021332
7,P2852,Q31,Q1061257
8,P2852,Q31,Q25648793
9,P2852,Q31,Q25648794
10,P2853,Q31,Q1378312
11,P2853,Q31,Q2335536
12,P2633,Q31,Q1115035
13,P1313,Q31,Q213107
14,P417,Q31,Q128267
15,P17,Q31,Q31
16,P2959,Q31,Q25929919
17,P2959,Q31,Q42311082
18,P2959,Q31,Q52884026
19,P122,Q31,Q41614
20,P122,Q31,Q3330103
21,P1552,Q31,Q3174312
22,P793,Q31,Q223933
23,P793,Q31,Q1160895
24,P530,Q31,Q32
25,P530,Q31,Q38
26,P530,Q31,Q183
27,P530,Q31,Q347
28,P530,Q31,Q408
29,P530,Q31,Q212
30,P530,Q31,Q1246
31,P530,Q31,Q142
32,P530,Q31,Q145
33,P530,Q31,Q16
34,P530,Q31,Q252
35,P530,Q31,Q35
36,P530,Q31,Q43
37,P530,Q31,Q55
38,P530,Q31,Q77
39,P530,Q31,Q833
40,P530,Q31,Q843
41,P530,Q31,Q865
42,P530,Q31,Q96
43,P530,Q31,Q974
44,P530,Q31,Q30
45,P530,Q31,Q159
46,P530,Q31,Q668
47,P530,Q31,Q41
48,P530,Q31,Q148
49,P530,Q31,Q230
50,P530,Q31,Q801
51,P530,Q31,Q29999
52,P1906,Q31,Q13592862
53,P194,Q31,Q1137059
54,P2184,Q31,Q205317
55,P37,Q31,Q7411
56,P37,Q31,Q150
57,P37,Q31,Q188
58,P30,Q31,Q46
59,P36,Q31,Q239
60,P237,Q31,Q199614
61,P910,Q31,Q4366768
62,P35,Q31,Q155004
63,P35,Q31,Q12971
64,P35,Q31,Q12967
65,P35,Q31,Q55008046
66,P35,Q31,Q12973
67,P35,Q31,Q12976
68,P35,Q31,Q3911
69,P35,Q31,Q445553
70,P35,Q31,Q1079522
71,P1791,Q31,Q7974978
72,P5008,Q31,Q54439832
73,P6,Q31,Q950958
74,P463,Q31,Q458
75,P463,Q31,Q1065
76,P463,Q31,Q7184
77,P463,Q31,Q41550
78,P463,Q31,Q8908
79,P463,Q31,Q13116
80,P463,Q31,Q42262
81,P463,Q31,Q7825
82,P463,Q31,Q141720
83,P463,Q31,Q1542735
84,P463,Q31,Q152299
85,P463,Q31,Q151991
86,P463,Q31,Q81299
87,P463,Q31,Q191384
88,P463,Q31,Q827525
89,P463,Q31,Q656801
90,P463,Q31,Q1043527
91,P463,Q31,Q899770
92,P463,Q31,Q340195
93,P463,Q31,Q188822
94,P463,Q31,Q782942
95,P463,Q31,Q161549
96,P463,Q31,Q1377612
97,P463,Q31,Q663492
98,P463,Q31,Q1928989
99,P463,Q31,Q1072120
100,P463,Q31,Q8475
101,P463,Q31,Q1480793
102,P463,Q31,Q842490
103,P463,Q31,Q3866537
104,P463,Q31,Q521227
105,P463,Q31,Q233611
106,P463,Q31,Q826700
107,P463,Q31,Q7809
108,P463,Q31,Q5611262
109,P463,Q31,Q17495
